scenario_id,arm,judge_idx,pred_step,pred_category,pred_category_name,raw_failures_json,agentrx_run_name
q01_t1_electric_kettle,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep1
q01_t1_electric_kettle,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep2
q01_t1_electric_kettle,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep3
q01_t1_electric_kettle,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep1
q01_t1_electric_kettle,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep2
q01_t1_electric_kettle,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep3
q02_t2_mechanical_keyboard,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep1
q02_t2_mechanical_keyboard,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep2
q02_t2_mechanical_keyboard,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep3
q02_t2_mechanical_keyboard,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep1
q02_t2_mechanical_keyboard,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep2
q02_t2_mechanical_keyboard,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep3
q03_t3_vacuum_cleaner,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep1
q03_t3_vacuum_cleaner,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep2
q03_t3_vacuum_cleaner,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep3
q03_t3_vacuum_cleaner,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q03_t3_vacuum_cleaner/rep1
q03_t3_vacuum_cleaner,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q03_t3_vacuum_cleaner/rep2
q03_t3_vacuum_cleaner,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q03_t3_vacuum_cleaner/rep3
q04_t4_smartphone,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q04_t4_smartphone/rep1
q04_t4_smartphone,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q04_t4_smartphone/rep2
q04_t4_smartphone,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q04_t4_smartphone/rep3
q04_t4_smartphone,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q04_t4_smartphone/rep1
q04_t4_smartphone,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q04_t4_smartphone/rep2
q04_t4_smartphone,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q04_t4_smartphone/rep3
q05_t5_jigsaw_puzzle,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q05_t5_jigsaw_puzzle/rep1
q05_t5_jigsaw_puzzle,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q05_t5_jigsaw_puzzle/rep2
q05_t5_jigsaw_puzzle,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q05_t5_jigsaw_puzzle/rep3
