run_id,scenario_id,arm,trajectory_path,otel_path,n_steps,sent_at
q01_t1_electric_kettle,q01_t1_electric_kettle,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q01_t1_electric_kettle.json,data/internal/MAS-SIM/otel/q01_t1_electric_kettle.otel.json,5,2026-07-07T04:48:39+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q02_t2_mechanical_keyboard.json,data/internal/MAS-SIM/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-07T04:50:11+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q03_t3_vacuum_cleaner.json,data/internal/MAS-SIM/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-07T04:51:49+00:00
q04_t4_smartphone,q04_t4_smartphone,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q04_t4_smartphone.json,data/internal/MAS-SIM/otel/q04_t4_smartphone.otel.json,5,2026-07-07T04:53:15+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q05_t5_jigsaw_puzzle.json,data/internal/MAS-SIM/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-07T04:54:44+00:00
q06_t1_skateboard,q06_t1_skateboard,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q06_t1_skateboard.json,data/internal/MAS-SIM/otel/q06_t1_skateboard.otel.json,5,2026-07-07T05:00:16+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q07_t3_electric_kettle.json,data/internal/MAS-SIM/otel/q07_t3_electric_kettle.otel.json,5,2026-07-07T05:02:03+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q08_t4_mechanical_keyboard.json,data/internal/MAS-SIM/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-07T05:04:22+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q09_t5_vacuum_cleaner.json,data/internal/MAS-SIM/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-07T05:06:18+00:00
q10_t3_smartphone,q10_t3_smartphone,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q10_t3_smartphone.json,data/internal/MAS-SIM/otel/q10_t3_smartphone.otel.json,5,2026-07-07T05:08:17+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q11_t4_jigsaw_puzzle.json,data/internal/MAS-SIM/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-07T05:10:33+00:00
q12_t5_skateboard,q12_t5_skateboard,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q12_t5_skateboard.json,data/internal/MAS-SIM/otel/q12_t5_skateboard.otel.json,5,2026-07-07T05:12:24+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,agentrx,data/internal/MAS-SIM/trajectory_agentrx/q13_t1_electric_kettle.json,data/internal/MAS-SIM/otel/q13_t1_electric_kettle.otel.json,5,2026-07-07T05:14:16+00:00
