scenario_id,arm,judge_idx,pred_step,pred_category,pred_category_name,raw_failures_json,agentrx_run_name
q01_t1_electric_kettle,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep1
q01_t1_electric_kettle,agentrx,10,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep10
q01_t1_electric_kettle,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep2
q01_t1_electric_kettle,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep3
q01_t1_electric_kettle,agentrx,4,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep4
q01_t1_electric_kettle,agentrx,5,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep5
q01_t1_electric_kettle,agentrx,6,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep6
q01_t1_electric_kettle,agentrx,7,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep7
q01_t1_electric_kettle,agentrx,8,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep8
q01_t1_electric_kettle,agentrx,9,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q01_t1_electric_kettle/rep9
q01_t1_electric_kettle,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep1
q01_t1_electric_kettle,telemetry,10,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep10
q01_t1_electric_kettle,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep2
q01_t1_electric_kettle,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep3
q01_t1_electric_kettle,telemetry,4,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep4
q01_t1_electric_kettle,telemetry,5,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep5
q01_t1_electric_kettle,telemetry,6,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep6
q01_t1_electric_kettle,telemetry,7,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep7
q01_t1_electric_kettle,telemetry,8,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep8
q01_t1_electric_kettle,telemetry,9,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q01_t1_electric_kettle/rep9
q02_t2_mechanical_keyboard,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep1
q02_t2_mechanical_keyboard,agentrx,10,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep10
q02_t2_mechanical_keyboard,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep2
q02_t2_mechanical_keyboard,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep3
q02_t2_mechanical_keyboard,agentrx,4,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep4
q02_t2_mechanical_keyboard,agentrx,5,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep5
q02_t2_mechanical_keyboard,agentrx,6,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep6
q02_t2_mechanical_keyboard,agentrx,7,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep7
q02_t2_mechanical_keyboard,agentrx,8,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep8
q02_t2_mechanical_keyboard,agentrx,9,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q02_t2_mechanical_keyboard/rep9
q02_t2_mechanical_keyboard,telemetry,1,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep1
q02_t2_mechanical_keyboard,telemetry,10,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep10
q02_t2_mechanical_keyboard,telemetry,2,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep2
q02_t2_mechanical_keyboard,telemetry,3,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep3
q02_t2_mechanical_keyboard,telemetry,4,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep4
q02_t2_mechanical_keyboard,telemetry,5,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep5
q02_t2_mechanical_keyboard,telemetry,6,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep6
q02_t2_mechanical_keyboard,telemetry,7,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep7
q02_t2_mechanical_keyboard,telemetry,8,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep8
q02_t2_mechanical_keyboard,telemetry,9,3,9,System Failure,"[{""case"":9,""step"":3}]",telemetry/q02_t2_mechanical_keyboard/rep9
q03_t3_vacuum_cleaner,agentrx,1,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep1
q03_t3_vacuum_cleaner,agentrx,10,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep10
q03_t3_vacuum_cleaner,agentrx,2,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep2
q03_t3_vacuum_cleaner,agentrx,3,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep3
q03_t3_vacuum_cleaner,agentrx,4,3,9,System Failure,"[{""case"":9,""step"":3}]",agentrx/q03_t3_vacuum_cleaner/rep4
