run_id,scenario_id,arm,trajectory_path,otel_path,n_steps,sent_at
q01_t1_electric_kettle,q01_t1_electric_kettle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q01_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q01_t1_electric_kettle.otel.json,5,2026-07-05T19:35:19+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q02_t2_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-05T19:35:51+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q03_t3_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-05T19:36:19+00:00
q04_t4_smartphone,q04_t4_smartphone,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q04_t4_smartphone.json,data/internal/Llama3.1-8B/otel/q04_t4_smartphone.otel.json,5,2026-07-05T19:36:51+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q05_t5_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-05T19:37:17+00:00
q06_t1_skateboard,q06_t1_skateboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q06_t1_skateboard.json,data/internal/Llama3.1-8B/otel/q06_t1_skateboard.otel.json,5,2026-07-05T19:37:43+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q07_t3_electric_kettle.json,data/internal/Llama3.1-8B/otel/q07_t3_electric_kettle.otel.json,5,2026-07-05T19:38:11+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q08_t4_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-05T19:38:43+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q09_t5_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-05T19:39:24+00:00
q10_t3_smartphone,q10_t3_smartphone,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q10_t3_smartphone.json,data/internal/Llama3.1-8B/otel/q10_t3_smartphone.otel.json,5,2026-07-05T19:39:58+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q11_t4_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-05T19:40:32+00:00
q12_t5_skateboard,q12_t5_skateboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q12_t5_skateboard.json,data/internal/Llama3.1-8B/otel/q12_t5_skateboard.otel.json,5,2026-07-05T19:41:10+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q13_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q13_t1_electric_kettle.otel.json,5,2026-07-05T19:41:51+00:00
q14_t3_mechanical_keyboard,q14_t3_mechanical_keyboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q14_t3_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q14_t3_mechanical_keyboard.otel.json,5,2026-07-05T19:42:19+00:00
q15_t4_vacuum_cleaner,q15_t4_vacuum_cleaner,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q15_t4_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q15_t4_vacuum_cleaner.otel.json,5,2026-07-05T19:42:53+00:00
q16_t1_smartphone,q16_t1_smartphone,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q16_t1_smartphone.json,data/internal/Llama3.1-8B/otel/q16_t1_smartphone.otel.json,5,2026-07-05T19:43:23+00:00
q17_t3_jigsaw_puzzle,q17_t3_jigsaw_puzzle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q17_t3_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q17_t3_jigsaw_puzzle.otel.json,5,2026-07-05T19:43:52+00:00
q18_t4_skateboard,q18_t4_skateboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q18_t4_skateboard.json,data/internal/Llama3.1-8B/otel/q18_t4_skateboard.otel.json,5,2026-07-05T19:44:28+00:00
q19_t1_electric_kettle,q19_t1_electric_kettle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q19_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q19_t1_electric_kettle.otel.json,5,2026-07-05T19:44:56+00:00
q20_t2_mechanical_keyboard,q20_t2_mechanical_keyboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q20_t2_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q20_t2_mechanical_keyboard.otel.json,5,2026-07-05T19:45:26+00:00
q21_t3_vacuum_cleaner,q21_t3_vacuum_cleaner,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q21_t3_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q21_t3_vacuum_cleaner.otel.json,5,2026-07-05T19:46:02+00:00
q22_t1_smartphone,q22_t1_smartphone,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q22_t1_smartphone.json,data/internal/Llama3.1-8B/otel/q22_t1_smartphone.otel.json,5,2026-07-05T19:46:38+00:00
q23_t2_jigsaw_puzzle,q23_t2_jigsaw_puzzle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q23_t2_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q23_t2_jigsaw_puzzle.otel.json,5,2026-07-05T19:47:09+00:00
q24_t3_skateboard,q24_t3_skateboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q24_t3_skateboard.json,data/internal/Llama3.1-8B/otel/q24_t3_skateboard.otel.json,5,2026-07-05T19:47:39+00:00
q25_t1_electric_kettle,q25_t1_electric_kettle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q25_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q25_t1_electric_kettle.otel.json,5,2026-07-05T19:48:17+00:00
q26_t3_mechanical_keyboard,q26_t3_mechanical_keyboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q26_t3_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q26_t3_mechanical_keyboard.otel.json,5,2026-07-05T19:49:03+00:00
q27_t1_vacuum_cleaner,q27_t1_vacuum_cleaner,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q27_t1_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q27_t1_vacuum_cleaner.otel.json,5,2026-07-05T19:49:34+00:00
q28_t3_smartphone,q28_t3_smartphone,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q28_t3_smartphone.json,data/internal/Llama3.1-8B/otel/q28_t3_smartphone.otel.json,5,2026-07-05T19:50:06+00:00
q29_t1_jigsaw_puzzle,q29_t1_jigsaw_puzzle,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q29_t1_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q29_t1_jigsaw_puzzle.otel.json,5,2026-07-05T19:50:45+00:00
q30_t3_skateboard,q30_t3_skateboard,agentrx,data/internal/Llama3.1-8B/trajectory_agentrx/q30_t3_skateboard.json,data/internal/Llama3.1-8B/otel/q30_t3_skateboard.otel.json,5,2026-07-05T19:51:30+00:00
q01_t1_electric_kettle,q01_t1_electric_kettle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q01_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q01_t1_electric_kettle.otel.json,5,2026-07-05T19:18:09+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q02_t2_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-05T19:18:41+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q03_t3_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-05T19:19:11+00:00
q04_t4_smartphone,q04_t4_smartphone,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q04_t4_smartphone.json,data/internal/Llama3.1-8B/otel/q04_t4_smartphone.otel.json,5,2026-07-05T19:19:39+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q05_t5_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-05T19:20:07+00:00
q06_t1_skateboard,q06_t1_skateboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q06_t1_skateboard.json,data/internal/Llama3.1-8B/otel/q06_t1_skateboard.otel.json,5,2026-07-05T19:20:31+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q07_t3_electric_kettle.json,data/internal/Llama3.1-8B/otel/q07_t3_electric_kettle.otel.json,5,2026-07-05T19:21:01+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q08_t4_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-05T19:21:46+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q09_t5_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-05T19:22:30+00:00
q10_t3_smartphone,q10_t3_smartphone,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q10_t3_smartphone.json,data/internal/Llama3.1-8B/otel/q10_t3_smartphone.otel.json,5,2026-07-05T19:23:20+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q11_t4_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-05T19:23:56+00:00
q12_t5_skateboard,q12_t5_skateboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q12_t5_skateboard.json,data/internal/Llama3.1-8B/otel/q12_t5_skateboard.otel.json,5,2026-07-05T19:24:42+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q13_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q13_t1_electric_kettle.otel.json,5,2026-07-05T19:25:22+00:00
q14_t3_mechanical_keyboard,q14_t3_mechanical_keyboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q14_t3_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q14_t3_mechanical_keyboard.otel.json,5,2026-07-05T19:25:51+00:00
q15_t4_vacuum_cleaner,q15_t4_vacuum_cleaner,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q15_t4_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q15_t4_vacuum_cleaner.otel.json,5,2026-07-05T19:26:17+00:00
q16_t1_smartphone,q16_t1_smartphone,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q16_t1_smartphone.json,data/internal/Llama3.1-8B/otel/q16_t1_smartphone.otel.json,5,2026-07-05T19:26:44+00:00
q17_t3_jigsaw_puzzle,q17_t3_jigsaw_puzzle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q17_t3_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q17_t3_jigsaw_puzzle.otel.json,5,2026-07-05T19:27:12+00:00
q18_t4_skateboard,q18_t4_skateboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q18_t4_skateboard.json,data/internal/Llama3.1-8B/otel/q18_t4_skateboard.otel.json,5,2026-07-05T19:27:44+00:00
q19_t1_electric_kettle,q19_t1_electric_kettle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q19_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q19_t1_electric_kettle.otel.json,5,2026-07-05T19:28:12+00:00
q20_t2_mechanical_keyboard,q20_t2_mechanical_keyboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q20_t2_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q20_t2_mechanical_keyboard.otel.json,5,2026-07-05T19:28:41+00:00
q21_t3_vacuum_cleaner,q21_t3_vacuum_cleaner,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q21_t3_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q21_t3_vacuum_cleaner.otel.json,5,2026-07-05T19:29:14+00:00
q22_t1_smartphone,q22_t1_smartphone,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q22_t1_smartphone.json,data/internal/Llama3.1-8B/otel/q22_t1_smartphone.otel.json,5,2026-07-05T19:29:51+00:00
q23_t2_jigsaw_puzzle,q23_t2_jigsaw_puzzle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q23_t2_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q23_t2_jigsaw_puzzle.otel.json,5,2026-07-05T19:30:20+00:00
q24_t3_skateboard,q24_t3_skateboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q24_t3_skateboard.json,data/internal/Llama3.1-8B/otel/q24_t3_skateboard.otel.json,5,2026-07-05T19:30:52+00:00
q25_t1_electric_kettle,q25_t1_electric_kettle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q25_t1_electric_kettle.json,data/internal/Llama3.1-8B/otel/q25_t1_electric_kettle.otel.json,5,2026-07-05T19:31:27+00:00
q26_t3_mechanical_keyboard,q26_t3_mechanical_keyboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q26_t3_mechanical_keyboard.json,data/internal/Llama3.1-8B/otel/q26_t3_mechanical_keyboard.otel.json,5,2026-07-05T19:32:03+00:00
q27_t1_vacuum_cleaner,q27_t1_vacuum_cleaner,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q27_t1_vacuum_cleaner.json,data/internal/Llama3.1-8B/otel/q27_t1_vacuum_cleaner.otel.json,5,2026-07-05T19:32:41+00:00
q28_t3_smartphone,q28_t3_smartphone,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q28_t3_smartphone.json,data/internal/Llama3.1-8B/otel/q28_t3_smartphone.otel.json,5,2026-07-05T19:33:18+00:00
q29_t1_jigsaw_puzzle,q29_t1_jigsaw_puzzle,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q29_t1_jigsaw_puzzle.json,data/internal/Llama3.1-8B/otel/q29_t1_jigsaw_puzzle.otel.json,5,2026-07-05T19:33:57+00:00
q30_t3_skateboard,q30_t3_skateboard,telemetry,data/internal/Llama3.1-8B/trajectory_telemetry/q30_t3_skateboard.json,data/internal/Llama3.1-8B/otel/q30_t3_skateboard.otel.json,5,2026-07-05T19:34:39+00:00
