Categoria,Braço,Failure Category Accuracy,Critical Step Accuracy,Average Step Distance
System Failure,Telemetria (A),100.0%,6/6,0.000
System Failure,Log textual (B),100.0%,6/6,0.000
Invalid Invocation,Telemetria (A),100.0%,4/6,0.417
Invalid Invocation,Log textual (B),100.0%,5/6,0.217
Misinterpretation of Tool Output,Telemetria (A),100.0%,6/6,0.000
Misinterpretation of Tool Output,Log textual (B),100.0%,6/6,0.000
Invention of New Information,Telemetria (A),100.0%,6/6,0.000
Invention of New Information,Log textual (B),66.7%,6/6,0.000
Instruction/Plan Adherence Failure,Telemetria (A),33.3%,3/6,0.900
Instruction/Plan Adherence Failure,Log textual (B),33.3%,3/6,0.833
