cat_short,arm_lab,cat_critical,step_exact,dist_passo
System Failure,Telemetria (A),1,1,0
System Failure,AgentRx (B),1,1,0
Invalid Invocation,Telemetria (A),1,0,0.888889
Invalid Invocation,AgentRx (B),1,0.5,0.5555555
Misinterpretation,Telemetria (A),1,1,0
Misinterpretation,AgentRx (B),1,1,0
Invention,Telemetria (A),0.6666666666666666,1,0
Invention,AgentRx (B),0.8333333333333334,1,0
Plan Adherence,Telemetria (A),0.3333333333333333,0.3333333333333333,1.5555555
Plan Adherence,AgentRx (B),0.3333333333333333,0.3333333333333333,1.0555555
