run_id,scenario_id,arm,trajectory_path,otel_path,n_steps,sent_at
q01_t1_electric_kettle,q01_t1_electric_kettle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q01_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q01_t1_electric_kettle.otel.json,5,2026-07-06T06:22:46+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q02_t2_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-06T06:23:12+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q03_t3_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-06T06:23:37+00:00
q04_t4_smartphone,q04_t4_smartphone,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q04_t4_smartphone.json,data/internal/Gemma3-27B/otel/q04_t4_smartphone.otel.json,5,2026-07-06T06:24:01+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q05_t5_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-06T06:24:26+00:00
q06_t1_skateboard,q06_t1_skateboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q06_t1_skateboard.json,data/internal/Gemma3-27B/otel/q06_t1_skateboard.otel.json,5,2026-07-06T06:24:52+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q07_t3_electric_kettle.json,data/internal/Gemma3-27B/otel/q07_t3_electric_kettle.otel.json,5,2026-07-06T06:25:21+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q08_t4_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-06T06:26:01+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q09_t5_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-06T06:26:41+00:00
q10_t3_smartphone,q10_t3_smartphone,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q10_t3_smartphone.json,data/internal/Gemma3-27B/otel/q10_t3_smartphone.otel.json,5,2026-07-06T06:27:24+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q11_t4_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-06T06:27:57+00:00
q12_t5_skateboard,q12_t5_skateboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q12_t5_skateboard.json,data/internal/Gemma3-27B/otel/q12_t5_skateboard.otel.json,5,2026-07-06T06:28:33+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q13_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q13_t1_electric_kettle.otel.json,5,2026-07-06T06:29:08+00:00
q14_t3_mechanical_keyboard,q14_t3_mechanical_keyboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q14_t3_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q14_t3_mechanical_keyboard.otel.json,5,2026-07-06T06:29:38+00:00
q15_t4_vacuum_cleaner,q15_t4_vacuum_cleaner,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q15_t4_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q15_t4_vacuum_cleaner.otel.json,5,2026-07-06T06:30:05+00:00
q16_t1_smartphone,q16_t1_smartphone,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q16_t1_smartphone.json,data/internal/Gemma3-27B/otel/q16_t1_smartphone.otel.json,5,2026-07-06T06:30:33+00:00
q17_t3_jigsaw_puzzle,q17_t3_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q17_t3_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q17_t3_jigsaw_puzzle.otel.json,5,2026-07-06T06:31:01+00:00
q18_t4_skateboard,q18_t4_skateboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q18_t4_skateboard.json,data/internal/Gemma3-27B/otel/q18_t4_skateboard.otel.json,5,2026-07-06T06:31:28+00:00
q19_t1_electric_kettle,q19_t1_electric_kettle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q19_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q19_t1_electric_kettle.otel.json,5,2026-07-06T06:31:57+00:00
q20_t2_mechanical_keyboard,q20_t2_mechanical_keyboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q20_t2_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q20_t2_mechanical_keyboard.otel.json,5,2026-07-06T06:32:34+00:00
q21_t3_vacuum_cleaner,q21_t3_vacuum_cleaner,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q21_t3_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q21_t3_vacuum_cleaner.otel.json,5,2026-07-06T06:33:09+00:00
q22_t1_smartphone,q22_t1_smartphone,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q22_t1_smartphone.json,data/internal/Gemma3-27B/otel/q22_t1_smartphone.otel.json,5,2026-07-06T06:33:45+00:00
q23_t2_jigsaw_puzzle,q23_t2_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q23_t2_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q23_t2_jigsaw_puzzle.otel.json,5,2026-07-06T06:34:25+00:00
q24_t3_skateboard,q24_t3_skateboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q24_t3_skateboard.json,data/internal/Gemma3-27B/otel/q24_t3_skateboard.otel.json,5,2026-07-06T06:34:52+00:00
q25_t1_electric_kettle,q25_t1_electric_kettle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q25_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q25_t1_electric_kettle.otel.json,5,2026-07-06T06:35:24+00:00
q26_t3_mechanical_keyboard,q26_t3_mechanical_keyboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q26_t3_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q26_t3_mechanical_keyboard.otel.json,5,2026-07-06T06:36:03+00:00
q27_t1_vacuum_cleaner,q27_t1_vacuum_cleaner,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q27_t1_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q27_t1_vacuum_cleaner.otel.json,5,2026-07-06T06:36:35+00:00
q28_t3_smartphone,q28_t3_smartphone,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q28_t3_smartphone.json,data/internal/Gemma3-27B/otel/q28_t3_smartphone.otel.json,5,2026-07-06T06:37:14+00:00
q29_t1_jigsaw_puzzle,q29_t1_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q29_t1_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q29_t1_jigsaw_puzzle.otel.json,5,2026-07-06T06:37:44+00:00
q30_t3_skateboard,q30_t3_skateboard,agentrx,data/internal/Gemma3-27B/trajectory_agentrx/q30_t3_skateboard.json,data/internal/Gemma3-27B/otel/q30_t3_skateboard.otel.json,5,2026-07-06T06:45:40+00:00
q01_t1_electric_kettle,q01_t1_electric_kettle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q01_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q01_t1_electric_kettle.otel.json,5,2026-07-06T06:05:54+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q02_t2_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-06T06:06:25+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q03_t3_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-06T06:06:52+00:00
q04_t4_smartphone,q04_t4_smartphone,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q04_t4_smartphone.json,data/internal/Gemma3-27B/otel/q04_t4_smartphone.otel.json,5,2026-07-06T06:07:21+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q05_t5_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-06T06:07:47+00:00
q06_t1_skateboard,q06_t1_skateboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q06_t1_skateboard.json,data/internal/Gemma3-27B/otel/q06_t1_skateboard.otel.json,5,2026-07-06T06:08:13+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q07_t3_electric_kettle.json,data/internal/Gemma3-27B/otel/q07_t3_electric_kettle.otel.json,5,2026-07-06T06:08:42+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q08_t4_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-06T06:09:18+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q09_t5_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-06T06:09:52+00:00
q10_t3_smartphone,q10_t3_smartphone,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q10_t3_smartphone.json,data/internal/Gemma3-27B/otel/q10_t3_smartphone.otel.json,5,2026-07-06T06:10:27+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q11_t4_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-06T06:11:05+00:00
q12_t5_skateboard,q12_t5_skateboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q12_t5_skateboard.json,data/internal/Gemma3-27B/otel/q12_t5_skateboard.otel.json,5,2026-07-06T06:12:09+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q13_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q13_t1_electric_kettle.otel.json,5,2026-07-06T06:12:57+00:00
q14_t3_mechanical_keyboard,q14_t3_mechanical_keyboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q14_t3_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q14_t3_mechanical_keyboard.otel.json,5,2026-07-06T06:13:25+00:00
q15_t4_vacuum_cleaner,q15_t4_vacuum_cleaner,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q15_t4_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q15_t4_vacuum_cleaner.otel.json,5,2026-07-06T06:13:54+00:00
q16_t1_smartphone,q16_t1_smartphone,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q16_t1_smartphone.json,data/internal/Gemma3-27B/otel/q16_t1_smartphone.otel.json,5,2026-07-06T06:14:23+00:00
q17_t3_jigsaw_puzzle,q17_t3_jigsaw_puzzle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q17_t3_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q17_t3_jigsaw_puzzle.otel.json,5,2026-07-06T06:14:53+00:00
q18_t4_skateboard,q18_t4_skateboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q18_t4_skateboard.json,data/internal/Gemma3-27B/otel/q18_t4_skateboard.otel.json,5,2026-07-06T06:15:20+00:00
q19_t1_electric_kettle,q19_t1_electric_kettle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q19_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q19_t1_electric_kettle.otel.json,5,2026-07-06T06:15:50+00:00
q20_t2_mechanical_keyboard,q20_t2_mechanical_keyboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q20_t2_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q20_t2_mechanical_keyboard.otel.json,5,2026-07-06T06:16:21+00:00
q21_t3_vacuum_cleaner,q21_t3_vacuum_cleaner,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q21_t3_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q21_t3_vacuum_cleaner.otel.json,5,2026-07-06T06:16:52+00:00
q22_t1_smartphone,q22_t1_smartphone,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q22_t1_smartphone.json,data/internal/Gemma3-27B/otel/q22_t1_smartphone.otel.json,5,2026-07-06T06:17:23+00:00
q23_t2_jigsaw_puzzle,q23_t2_jigsaw_puzzle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q23_t2_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q23_t2_jigsaw_puzzle.otel.json,5,2026-07-06T06:17:55+00:00
q24_t3_skateboard,q24_t3_skateboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q24_t3_skateboard.json,data/internal/Gemma3-27B/otel/q24_t3_skateboard.otel.json,5,2026-07-06T06:18:28+00:00
q25_t1_electric_kettle,q25_t1_electric_kettle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q25_t1_electric_kettle.json,data/internal/Gemma3-27B/otel/q25_t1_electric_kettle.otel.json,5,2026-07-06T06:19:01+00:00
q26_t3_mechanical_keyboard,q26_t3_mechanical_keyboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q26_t3_mechanical_keyboard.json,data/internal/Gemma3-27B/otel/q26_t3_mechanical_keyboard.otel.json,5,2026-07-06T06:19:43+00:00
q27_t1_vacuum_cleaner,q27_t1_vacuum_cleaner,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q27_t1_vacuum_cleaner.json,data/internal/Gemma3-27B/otel/q27_t1_vacuum_cleaner.otel.json,5,2026-07-06T06:20:18+00:00
q28_t3_smartphone,q28_t3_smartphone,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q28_t3_smartphone.json,data/internal/Gemma3-27B/otel/q28_t3_smartphone.otel.json,5,2026-07-06T06:20:56+00:00
q29_t1_jigsaw_puzzle,q29_t1_jigsaw_puzzle,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q29_t1_jigsaw_puzzle.json,data/internal/Gemma3-27B/otel/q29_t1_jigsaw_puzzle.otel.json,5,2026-07-06T06:21:31+00:00
q30_t3_skateboard,q30_t3_skateboard,telemetry,data/internal/Gemma3-27B/trajectory_telemetry/q30_t3_skateboard.json,data/internal/Gemma3-27B/otel/q30_t3_skateboard.otel.json,5,2026-07-06T06:22:16+00:00
