scenario_id,arm,n_judge_runs,trajectory_length,gt_step,gt_category,gt_category_name,gt_failures_json,gt_earliest_category,gt_terminal_category,most_common_category,most_common_category_name,step_mean,step_median,category_std,step_std,failure_case_accuracy_perrun,step_mae,step_acc_exact,step_acc_tol1,step_acc_tol3,step_acc_tol5,avg_step_distance,avg_step_distance_norm,cat_acc_critical,cat_acc_any,cat_acc_earliest,cat_acc_terminal,judge_model,agentrx_run_name
q01_t1_electric_kettle,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q01_t1_electric_kettle
q01_t1_electric_kettle,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q01_t1_electric_kettle
q02_t2_mechanical_keyboard,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q02_t2_mechanical_keyboard
q02_t2_mechanical_keyboard,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q02_t2_mechanical_keyboard
q03_t3_vacuum_cleaner,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q03_t3_vacuum_cleaner
q03_t3_vacuum_cleaner,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q03_t3_vacuum_cleaner
q04_t4_smartphone,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q04_t4_smartphone
q04_t4_smartphone,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q04_t4_smartphone
q05_t5_jigsaw_puzzle,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q05_t5_jigsaw_puzzle
q05_t5_jigsaw_puzzle,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q05_t5_jigsaw_puzzle
q06_t1_skateboard,agentrx,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q06_t1_skateboard
q06_t1_skateboard,telemetry,3,5,3,9,System Failure,"[{""category"":9,""step"":3}]",9,9,9,System Failure,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q06_t1_skateboard
q07_t3_electric_kettle,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.333333,2.0,0.0,0.57735,1.0,0.333333,1,1,1,1,0.333333,0.066667,1,1,1,1,gpt-5.4,agentrx/q07_t3_electric_kettle
