run_id,scenario_id,arm,trajectory_path,otel_path,n_steps,sent_at
q01_t1_electric_kettle,q01_t1_electric_kettle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q01_t1_electric_kettle.json,data/internal/Gemma3-27B-RUN-2/otel/q01_t1_electric_kettle.otel.json,5,2026-07-07T01:50:54+00:00
q02_t2_mechanical_keyboard,q02_t2_mechanical_keyboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q02_t2_mechanical_keyboard.json,data/internal/Gemma3-27B-RUN-2/otel/q02_t2_mechanical_keyboard.otel.json,5,2026-07-07T01:51:31+00:00
q03_t3_vacuum_cleaner,q03_t3_vacuum_cleaner,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q03_t3_vacuum_cleaner.json,data/internal/Gemma3-27B-RUN-2/otel/q03_t3_vacuum_cleaner.otel.json,5,2026-07-07T01:52:03+00:00
q04_t4_smartphone,q04_t4_smartphone,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q04_t4_smartphone.json,data/internal/Gemma3-27B-RUN-2/otel/q04_t4_smartphone.otel.json,5,2026-07-07T01:52:35+00:00
q05_t5_jigsaw_puzzle,q05_t5_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q05_t5_jigsaw_puzzle.json,data/internal/Gemma3-27B-RUN-2/otel/q05_t5_jigsaw_puzzle.otel.json,5,2026-07-07T01:53:07+00:00
q06_t1_skateboard,q06_t1_skateboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q06_t1_skateboard.json,data/internal/Gemma3-27B-RUN-2/otel/q06_t1_skateboard.otel.json,5,2026-07-07T01:53:38+00:00
q07_t3_electric_kettle,q07_t3_electric_kettle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q07_t3_electric_kettle.json,data/internal/Gemma3-27B-RUN-2/otel/q07_t3_electric_kettle.otel.json,5,2026-07-07T01:54:16+00:00
q08_t4_mechanical_keyboard,q08_t4_mechanical_keyboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q08_t4_mechanical_keyboard.json,data/internal/Gemma3-27B-RUN-2/otel/q08_t4_mechanical_keyboard.otel.json,5,2026-07-07T01:55:15+00:00
q09_t5_vacuum_cleaner,q09_t5_vacuum_cleaner,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q09_t5_vacuum_cleaner.json,data/internal/Gemma3-27B-RUN-2/otel/q09_t5_vacuum_cleaner.otel.json,5,2026-07-07T01:56:06+00:00
q10_t3_smartphone,q10_t3_smartphone,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q10_t3_smartphone.json,data/internal/Gemma3-27B-RUN-2/otel/q10_t3_smartphone.otel.json,5,2026-07-07T01:56:58+00:00
q11_t4_jigsaw_puzzle,q11_t4_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q11_t4_jigsaw_puzzle.json,data/internal/Gemma3-27B-RUN-2/otel/q11_t4_jigsaw_puzzle.otel.json,5,2026-07-07T01:57:50+00:00
q12_t5_skateboard,q12_t5_skateboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q12_t5_skateboard.json,data/internal/Gemma3-27B-RUN-2/otel/q12_t5_skateboard.otel.json,5,2026-07-07T01:58:44+00:00
q13_t1_electric_kettle,q13_t1_electric_kettle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q13_t1_electric_kettle.json,data/internal/Gemma3-27B-RUN-2/otel/q13_t1_electric_kettle.otel.json,5,2026-07-07T01:59:31+00:00
q14_t3_mechanical_keyboard,q14_t3_mechanical_keyboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q14_t3_mechanical_keyboard.json,data/internal/Gemma3-27B-RUN-2/otel/q14_t3_mechanical_keyboard.otel.json,5,2026-07-07T02:00:09+00:00
q15_t4_vacuum_cleaner,q15_t4_vacuum_cleaner,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q15_t4_vacuum_cleaner.json,data/internal/Gemma3-27B-RUN-2/otel/q15_t4_vacuum_cleaner.otel.json,5,2026-07-07T02:00:46+00:00
q16_t1_smartphone,q16_t1_smartphone,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q16_t1_smartphone.json,data/internal/Gemma3-27B-RUN-2/otel/q16_t1_smartphone.otel.json,5,2026-07-07T02:01:27+00:00
q17_t3_jigsaw_puzzle,q17_t3_jigsaw_puzzle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q17_t3_jigsaw_puzzle.json,data/internal/Gemma3-27B-RUN-2/otel/q17_t3_jigsaw_puzzle.otel.json,5,2026-07-07T02:02:06+00:00
q18_t4_skateboard,q18_t4_skateboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q18_t4_skateboard.json,data/internal/Gemma3-27B-RUN-2/otel/q18_t4_skateboard.otel.json,5,2026-07-07T02:02:45+00:00
q19_t1_electric_kettle,q19_t1_electric_kettle,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q19_t1_electric_kettle.json,data/internal/Gemma3-27B-RUN-2/otel/q19_t1_electric_kettle.otel.json,5,2026-07-07T02:03:37+00:00
q20_t2_mechanical_keyboard,q20_t2_mechanical_keyboard,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q20_t2_mechanical_keyboard.json,data/internal/Gemma3-27B-RUN-2/otel/q20_t2_mechanical_keyboard.otel.json,5,2026-07-07T02:04:19+00:00
q21_t3_vacuum_cleaner,q21_t3_vacuum_cleaner,agentrx,data/internal/Gemma3-27B-RUN-2/trajectory_agentrx/q21_t3_vacuum_cleaner.json,data/internal/Gemma3-27B-RUN-2/otel/q21_t3_vacuum_cleaner.otel.json,5,2026-07-07T02:05:05+00:00
